GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",1939,260,1501,248,369,112,1027,240,0,11,16,27,0,11,0,11,89,82,0,11,89,82,438,213,133,97,115,110,97,146,0,11,0,11,15,18,78,99,0,11,78,99
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",4731,676,4452,648,564,209,3424,654,0,11,104,101,0,11,0,11,360,228,0,11,360,228,279,157,146,113,50,66,0,11,0,11,0,11,32,50,51,68,0,11,51,68
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",5558,646,4948,670,2419,380,1511,533,18,25,559,344,0,16,79,82,362,245,0,16,362,245,610,305,170,143,28,45,0,16,0,16,0,16,194,136,218,220,126,180,92,124
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",2459,266,2363,272,2095,272,131,76,20,27,92,66,0,11,0,11,25,37,0,11,25,37,96,95,88,93,0,11,0,11,0,11,0,11,8,14,0,11,0,11,0,11
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",4695,456,4281,430,3018,388,691,176,27,44,416,229,0,11,0,11,129,113,0,11,129,113,414,207,238,137,23,38,0,11,0,11,0,11,52,79,101,94,0,11,101,94
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",5090,469,4300,411,2968,321,784,170,0,16,374,93,0,16,21,19,153,49,62,36,91,45,790,159,286,87,185,77,0,16,19,23,3,7,270,90,27,32,26,32,1,2
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",3590,517,2681,369,1340,262,1016,220,0,11,120,150,0,11,0,11,205,155,5,9,200,152,909,455,788,439,31,32,0,11,0,11,0,11,59,83,31,39,8,14,23,31
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",3708,331,3414,313,2555,302,485,167,0,11,279,102,7,14,22,21,66,36,10,14,56,36,294,104,105,53,75,69,5,11,0,11,0,11,74,41,35,26,7,12,28,24
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",3764,444,3148,428,1312,375,1165,343,24,37,418,221,0,11,0,11,229,157,32,51,197,149,616,324,261,219,98,92,0,11,0,11,0,11,257,284,0,11,0,11,0,11
